School DBN,Type of School,Article.28,Article.28.Name,Article.31.Clininc.Onsite,Article.31.Provider,Funded.Article.31.Clinic,Community.School.w..MH.Funding,SRT,Promise.Zone,X100.Schools.Project,School.MH.Supervisor,School.MH.Consultant,School.Name,Address,lon,lat,geoAddress
17K568,Community School,,.,,,,AIDP,,,,,,Brownsville Academy High School,"1150 EAST NEW YORK AVENUE,BROOKLYN,NY,11212",-73.9239496,40.6662946,"1150 e new york ave, brooklyn, ny 11212, usa"
17K590,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Lachelle Dungee,Medgar Evers College Preparatory School,"1186 CARROLL STREET,BROOKLYN,NY,11225",-73.9510136,40.667,"1186 carroll st, brooklyn, ny 11225, usa"
17K600,PIP,,.,,,,,,,,,,Clara Barton High School,"901 CLASSON AVENUE,BROOKLYN,NY,11225",-73.9617899,40.6690502,"901 classon ave, brooklyn, ny 11225, usa"
17K705,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,Brooklyn Arts and Science Elementary School,"443 ST MARKS AVENUE,BROOKLYN,NY,11238",-73.9600909,40.6769629,"443 st marks ave, brooklyn, ny 11238, usa"
17K751,Consultant Program,,.,,,,,,,,Marcia Chichester- IC,Danielle Lambert,I.S. 096 Seth Low,"99 AVENUE P,BROOKLYN,NY,11204",-73.9851608,40.6079832,"99 avenue p, brooklyn, ny 11204, usa"
17K770,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 770 New American Academy,"60 EAST  94 STREET,BROOKLYN,NY,11212",-73.9278074,40.663907,"60 e 94th st, brooklyn, ny 11212, usa"
18K066,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,P.S. 66,"845 EAST  96 STREET,BROOKLYN,NY,11236",-73.9067261,40.6487279,"845 e 96th st, brooklyn, ny 11236, usa"
18K115,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Daphne Denis,P.S. 115 Daniel Mucatel School,"1500 EAST  92 STREET,BROOKLYN,NY,11236",-73.897999,40.6349577,"1500 e 92nd st, brooklyn, ny 11236, usa"
18K135,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,P.S. 135 Sheldon A. Brookner,"684 LINDEN BOULEVARD,BROOKLYN,NY,11203",-73.9329511,40.6531986,"684 linden blvd, brooklyn, ny 11203, usa"
18K208,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Daphne Denis,P.S. 208 Elsa Ebeling,"4801 AVENUE D,BROOKLYN,NY,11203",-73.9307007,40.6424792,"4801 avenue d, brooklyn, ny 11203, usa"
18K211,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Daphne Denis,I.S. 211 John Wilson,"1001 EAST 100 STREET,BROOKLYN,NY,11236",-73.8958401,40.6432708,"1001 east 100th street, brooklyn, ny 11236, usa"
18K219,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,P.S. 219 Kennedy-King,"1060 CLARKSON AVENUE,BROOKLYN,NY,11212",-73.922434,40.6591609,"1060 clarkson ave, brooklyn, ny 11212, usa"
18K233,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,Abraham Lincoln High School,"2800 OCEAN PARKWAY,BROOKLYN,NY,11235",-73.9682183,40.5828631,"2800 ocean pkwy, brooklyn, ny 11235, usa"
18K235,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,Edward R. Murrow High School,"1600 AVENUE L,BROOKLYN,NY,11230",-73.9589429,40.6195422,"1600 avenue l, brooklyn, ny 11230, usa"
18K244,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,P.S. 244 Richard R. Green,"5404 TILDEN AVENUE,BROOKLYN,NY,11203",-73.9254652,40.6479192,"5404 tilden ave, brooklyn, ny 11203, usa"
18K268,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,P.S. 268 Emma Lazarus,"133 EAST  53 STREET,BROOKLYN,NY,11203",-73.9278074,40.6574139,"133 e 53rd st, brooklyn, ny 11203, usa"
18K272,Community School,,.,X,Interborough,X,AIDP,,,,,,P.S. 272 Curtis Estabrook,"101-24 SEAVIEW AVENUE,BROOKLYN,NY,11236",-73.8864552,40.6356012,"10124 seaview ave, brooklyn, ny 11236, usa"
18K276,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Daphne Denis,P.S. 276 Louis Marshall,"1070 EAST  83 STREET,BROOKLYN,NY,11236",-73.9079662,40.6337115,"1070 e 83rd st, brooklyn, ny 11236, usa"
18K279,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Daphne Denis,P.S. 279 Herman Schreiber,"1070 EAST 104 STREET,BROOKLYN,NY,11236",-73.8925788,40.6441584,"1070 e 104th st, brooklyn, ny 11236, usa"
18K366,Consultant Program,,.,,,,,X,,,Ayanna McNeill IC,Daphne Denis,J.H.S. 078 Roy H. Mann,"1420 EAST  68 STREET,BROOKLYN,NY,11234",-73.9131104,40.6208332,"1420 e 68 st, brooklyn, ny 11234, usa"
18K566,Community School,X,NYU Langone/Lutheran Medical Center,,,,Former Renewal/AIDP,,,,,,Brooklyn Generation School,"6565 FLATLANDS AVENUE,BROOKLYN,NY,11236",-73.9175196,40.6336811,"6565 flatlands ave, brooklyn, ny 11236, usa"
18K581,Community School,,.,X,Interborough,,Former Renewal,,,,,,East Flatbush Community Research School,"905 WINTHROP STREET,BROOKLYN,NY,11203",-73.9286824,40.6586846,"905 winthrop st, brooklyn, ny 11203, usa"
18K588,Consultant Program,,.,,,,,X,,,Ayanna McNeill IC,Quentin Holt,Middle School for Art and Philosophy,"1084 LENOX ROAD,BROOKLYN,NY,11212",-73.9201376,40.6579834,"1084 lenox rd, brooklyn, ny 11212, usa"
18K635,Consultant Program,,.,,,,,,,,Richard Repaci- IC,Woodjerry Louis,James Madison High School,"3787 BEDFORD AVENUE,BROOKLYN,NY,11229",-73.9482591,40.6099056,"3787 bedford ave, brooklyn, ny 11229, usa"
18K673,Community School,,.,,,,AIDP,,,,,,East Brooklyn Community High School,"9517 KINGS HIGHWAY,BROOKLYN,NY,11212",-73.9206428,40.6597946,"9517 kings hwy, brooklyn, ny 11212, usa"
18K763,Consultant Program,,.,,,,,,,,Ayanna McNeill IC,Quentin Holt,Brooklyn Science and Engineering Academy,"5404 TILDEN AVENUE,BROOKLYN,NY,11203",-73.9254652,40.6479192,"5404 tilden ave, brooklyn, ny 11203, usa"
19K007,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Stardell Smith,P.S. 156 Waverly,"104 SUTTER AVENUE,BROOKLYN,NY,11212",-73.9180947,40.6654788,"104 sutter ave, brooklyn, ny 11212, usa"
19K089,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Jessica McJunkin-Flatts,P.S. 165 Ida Posner,"76 LOTT AVENUE,BROOKLYN,NY,11212",-73.9110895,40.6571964,"76 lott ave, brooklyn, ny 11212, usa"
19K108,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Haelinn Seu,"The Gregory Jocko Jackson School of Sports, Art, and Technology","213 OSBORN STREET,BROOKLYN,NY,11212",-73.9075529,40.6669333,"213 osborn st, brooklyn, ny 11212, usa"
19K149,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Vicky Jocelin,P.S. 298 Dr. Betty Shabazz,"85 WATKINS STREET,BROOKLYN,NY,11212",-73.9075988,40.671229,"85 watkins st, brooklyn, ny 11212, usa"
19K158,Community School,,.,X,Interborough,X,AIDP,,,,,,P.S. 158 Warwick,"400 ASHFORD STREET,BROOKLYN,NY,11207",-73.8851372,40.6725442,"400 ashford st, brooklyn, ny 11207, usa"
19K159,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Stardell Smith,P.S. 159 Isaac Pitkin,"2781 PITKIN AVENUE,BROOKLYN,NY,11208",-73.8696438,40.6759848,"2781 pitkin ave, brooklyn, ny 11208, usa"
19K190,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Yasmin Potts-Thomas,P.S. 190 Sheffield,"590 SHEFFIELD AVENUE,BROOKLYN,NY,11207",-73.8947836,40.6622521,"590 sheffield ave, brooklyn, ny 11207, usa"
19K202,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Haelinn Seu,P.S. 202 Ernest S. Jenkyns,"982 HEGEMAN AVENUE,BROOKLYN,NY,11208",-73.8761335,40.6661578,"982 hegeman ave, brooklyn, ny 11208, usa"
19K213,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Yasmin Potts-Thomas,Brooklyn Collegiate: A College Board School,"2021 BERGEN STREET,BROOKLYN,NY,11233",-73.9132942,40.674514,"2021 bergen st, brooklyn, ny 11233, usa"
